game_id,season,game_date,home_team,away_team,matchup,home_spread,total_line,home_margin,total_points,home_win,home_covered,over_hit,model_win_prob,model_pred_margin,vegas_win_prob,vegas_pred_margin,model_win_correct,vegas_win_correct,model_ats_pick,model_ats_win,unit_profit,abs_err_model,abs_err_vegas,favorite_side,spread_bucket,season_stage,b2b_status
22400267,2024-25,2024-11-23,HOU,POR,POR @ HOU,-12.5,226.5,-6,202,0,0,0,0.8323,12.78,0.8057,12.5,0,0,Home,0,-1.0,18.78,18.5,Home favored,Big (11+),Early,Neither/Both
22400268,2024-25,2024-11-23,MIL,CHA,CHA @ MIL,-7.5,224.5,6,244,1,0,1,0.7277,5.58,0.6975,7.5,1,1,Away,1,0.9091,0.42,1.5,Home favored,Mid (7-11),Early,Home on B2B
22400269,2024-25,2024-11-23,SAS,GSW,GSW @ SAS,3.5,229.5,10,198,1,1,0,0.3644,-2.26,0.4046,-3.5,0,0,Home,1,0.9091,12.26,13.5,Away favored,Small (3-7),Early,Away on B2B
22400270,2024-25,2024-11-23,LAL,DEN,DEN @ LAL,-4.5,236.5,-25,229,0,0,0,0.563,1.26,0.6219,4.5,0,0,Away,1,0.9091,26.26,29.5,Home favored,Small (3-7),Early,Away on B2B
22400271,2024-25,2024-11-24,BOS,MIN,MIN @ BOS,-8.5,222.5,2,212,1,0,0,0.7049,5.12,0.7212,8.5,1,1,Away,1,0.9091,3.12,6.5,Home favored,Mid (7-11),Early,Neither/Both
22400272,2024-25,2024-11-24,IND,WAS,WAS @ IND,-12.5,240.5,12,218,1,0,0,0.7879,14.86,0.8057,12.5,1,1,Home,0,-1.0,2.86,0.5,Home favored,Big (11+),Early,Neither/Both
22400273,2024-25,2024-11-24,MIA,DAL,DAL @ MIA,-2.5,221.5,5,241,1,1,1,0.547,-2.33,0.5685,2.5,1,1,Away,0,-1.0,7.33,2.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400274,2024-25,2024-11-24,PHI,LAC,LAC @ PHI,1.5,210.5,-26,224,0,0,1,0.459,-0.34,0.4588,-1.5,1,1,Home,0,-1.0,25.66,24.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400275,2024-25,2024-11-24,CLE,TOR,TOR @ CLE,-11.5,233.5,14,230,1,1,0,0.8597,15.97,0.7862,11.5,1,1,Home,1,0.9091,1.97,2.5,Home favored,Big (11+),Early,Neither/Both
22400276,2024-25,2024-11-24,SAC,BKN,BKN @ SAC,-10.5,223.5,-5,211,0,0,0,0.6669,5.84,0.7656,10.5,0,0,Away,1,0.9091,10.84,15.5,Home favored,Mid (7-11),Early,Neither/Both
22400277,2024-25,2024-11-25,CHA,ORL,ORL @ CHA,4.5,212.5,-11,179,0,0,0,0.3292,-4.87,0.3781,-4.5,1,1,Away,1,0.9091,6.13,6.5,Away favored,Small (3-7),Early,Neither/Both
22400278,2024-25,2024-11-25,DET,TOR,TOR @ DET,-4.5,219.5,2,202,1,0,0,0.5683,0.09,0.6219,4.5,1,1,Away,1,0.9091,1.91,2.5,Home favored,Small (3-7),Early,Away on B2B
22400279,2024-25,2024-11-25,IND,NOP,NOP @ IND,-7.5,229.5,4,224,1,0,0,0.6178,3.93,0.6975,7.5,1,1,Away,1,0.9091,0.07,3.5,Home favored,Mid (7-11),Early,Home on B2B
22400280,2024-25,2024-11-25,ATL,DAL,DAL @ ATL,-2.5,236.5,-10,248,0,0,1,0.3538,-0.7,0.5685,2.5,1,0,Away,1,0.9091,9.3,12.5,Home favored,Pick'em (0-3),Early,Away on B2B
22400281,2024-25,2024-11-25,BOS,LAC,LAC @ BOS,-10.5,217.5,32,220,1,1,1,0.7351,5.61,0.7656,10.5,1,1,Away,0,-1.0,26.39,21.5,Home favored,Mid (7-11),Early,Neither/Both
22400282,2024-25,2024-11-25,MEM,POR,POR @ MEM,-10.5,236.5,25,221,1,1,0,0.7593,9.49,0.7656,10.5,1,1,Away,0,-1.0,15.51,14.5,Home favored,Mid (7-11),Early,Neither/Both
22400283,2024-25,2024-11-25,DEN,NYK,NYK @ DEN,-2.5,233.5,-27,263,0,0,1,0.5901,3.56,0.5685,2.5,0,0,Home,0,-1.0,30.56,29.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400284,2024-25,2024-11-25,GSW,BKN,BKN @ GSW,-13.5,223.5,-8,248,0,0,1,0.7637,10.0,0.8241,13.5,0,0,Away,1,0.9091,18.0,21.5,Home favored,Big (11+),Early,Away on B2B
